Indicator,Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Carbon pricing ; $ per Tn CO2(transition)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,283.14,650.89,748.71,834.38,932.69,"1,043.18",,,,,,,,,,
Carbon pricing ; $ per Tn CO2(transition)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Carbon pricing ; $ per Tn CO2(transition),Abs. difference,471.69,"1,102.22","1,956.22","3,180.60","4,974.82","6,721.30",,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined(no bus))Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Central bank Intervention rate (policy interest rate) ; %(combined(no bus)),Abs. difference,0.00,0.00,0.50,0.73,0.82,0.64,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined(no bus))Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Central bank Intervention rate (policy interest rate) ; %(combined(no bus)),Abs. difference,0.00,0.00,0.09,0.11,0.15,0.20,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,-0.08,0.10,0.22,0.30,0.31,0.34,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Delayed transitionNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Delayed transition,Brazil,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.00,0.00,0.37,0.74,0.85,0.66,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Fragmented WorldNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Fragmented World,Brazil,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.00,0.00,-0.04,0.11,0.18,0.21,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Nationally Determined Contributions (NDCs)NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Nationally Determined Contributions (NDCs),Brazil,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.63,0.87,0.59,0.39,0.30,0.22,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(combined)Net Zero 2050NiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Net Zero 2050,Brazil,Central bank Intervention rate (policy interest rate) ; %(combined),Abs. difference,0.86,1.74,1.71,1.28,0.83,0.69,,,,,,,,,,
Central bank Intervention rate (policy interest rate) ; %(physical)Below 2°CNiGEM NGFS v1.24.2|Brazil,NiGEM NGFS v1.24.2[REMIND-MAgPIE 3.3-4.8],Below 2°C,Brazil,Central bank Intervention rate (policy interest rate) ; %(physical),Abs. difference,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
